City,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points
"SPRINGDALE, AR",3.0,3.2,3.0
"ENID, OK",,,
"DUBUQUE, IA",,2.4,0.5
"SOUTH BEND, IN",,2.9,0.6
"CRESTED BUTTE, CO",,3.6,0.7
"KALAMAZOO, MI",,2.8,0.6
"SPRINGFIELD, MO",,2.7,0.5
"SAN JUAN CAPISTRANO, CA",,1.7,0.3
"CHARLOTTESVILLE, VA",,2.4,0.5
"BENTONVILLE, AR",3.7,3.9,3.7
"WAUSAU, WI",1.4,3.2,1.8
"MEDFORD, OR",,,
"LEWISTON, ME",,,
"ARCATA, CA",1.2,,1.0
"JACKSON, WY",,,
"MARQUETTE, MI",0.2,3.1,0.7
"PIERRE, SD",,,
"LOMPOC, CA",0.9,2.7,1.3
"MIDDLEBURY, VT",,2.2,0.4
"FORT WAYNE, IN",,3.2,0.6
"JUNEAU, AK",,2.3,0.5
"WHEAT RIDGE, CO",,2.6,0.5
"KAILUA, HI",,2.1,0.4
"COEUR D'ALENE, ID",,2.8,0.6
"SOUTH BURLINGTON, VT",,2.2,0.4
"STILLWATER, OK",,,
"RAPID CITY, SD",,2.3,0.5
"MANHATTAN, KS",,2.3,0.5
"MONTPELIER, VT",,,
"CARPINTERIA, CA",0.0,2.6,0.5
"MISSOULA, MT",,3.7,0.7
"WAUKESHA, WI",,2.1,0.4
"BOISE, ID",,3.6,0.7
"MARSHFIELD, WI",,2.7,0.5
"ASHLAND, WI",,,
"ORONO, ME",,2.1,0.4
"TRAVERSE CITY, MI",,3.8,0.8
"BEND, OR",,3.1,0.6
"BELLINGHAM, WA",,3.3,0.7
"TUSTIN, CA",,1.8,0.4
"GOLDEN, CO",,3.1,0.6
"BROOKINGS, SD",,2.7,0.5
"FORT COLLINS, CO",2.7,4.2,3.0
"GRAND FORKS, ND",,,
"BRATTLEBORO, VT",,2.2,0.4
"WATERLOO, WI",,,
"IOWA CITY, IA",,3.2,0.6
"PALO ALTO, CA",,3.0,0.6
"BOZEMAN, MT",,2.8,0.6
"LOS ALTOS, CA",,2.4,0.5
"HILLSBORO, OR",3.2,,2.5
"HELENA, MT",,,
"BRECKENRIDGE, CO",,3.5,0.7
"KEY WEST, FL",,2.0,0.4
"SANTA CRUZ, CA",,3.5,0.7
"REXBURG, ID",,1.6,0.3
"LARAMIE, WY",,2.6,0.5
"OLYMPIA, WA",,2.5,0.5
"KEENE, NH",,2.5,0.5
"STEAMBOAT SPRINGS, CO",,3.4,0.7
"CLEMSON, SC",,1.8,0.4
"NORTHAMPTON, MA",,2.8,0.6
"ATHENS, OH",1.2,2.8,1.5
"MILL VALLEY, CA",,3.1,0.6
"MURFREESBORO, TN",,1.6,0.3
"FALMOUTH, MA",,2.6,0.5
"WINTHROP, WA",,,
"REDDING, CA",,3.1,0.6
"WICHITA, KS",,2.9,0.6
"BOULDER, CO",2.9,3.5,3.0
"SANTA BARBARA, CA",3.2,3.5,3.3
"QUINCY, IL",,2.2,0.4
"FORT SMITH, AR",,2.1,0.4
"QUEENS, NY",2.7,2.7,2.7
"AVENTURA, FL",,,
"MOUNT PLEASANT, SC",,1.6,0.3
"ANN ARBOR, MI",1.5,2.6,1.7
"FITCHBURG, WI",1.7,3.1,1.9
"GRAND ISLAND, NE",,,
"VENTURA, CA",3.2,2.8,3.1
"STANFORD, CA",,,
"OREM, UT",,2.1,0.4
"TAMPA, FL",,2.2,0.4
"RUTLAND, VT",,,
"INDEPENDENCE, MO",,,
"CARROLLTON, GA",2.2,,1.8
"LANSING, MI",,2.4,0.5
"AURORA, IL",,,
"GOOSE CREEK, SC",,1.4,0.3
"CHARLESTON, WV",,2.1,0.4
"TROY, OH",,,
"KANSAS CITY, KS",,,
"SANTA MARIA, CA",1.7,1.8,1.7
"SHAWNEE, KS",,2.3,0.5
"SAINT PETERSBURG, FL",,2.8,0.6
"PORTLAND, ME",1.8,,1.4
"ATHENS, GA",1.8,2.7,1.9
"FAIRBANKS, AK",,2.5,0.5
"EMMAUS, PA",,,
"ALEXANDRIA, VA",,2.8,0.6
"LA CROSSE, WI",,3.4,0.7
"TULSA, OK",,3.0,0.6
"YUMA, AZ",,,
"RAVENNA, OH",,,
"PHILADELPHIA, PA",,3.2,0.6
"SANTA ANA, CA",,1.8,0.4
"CHICAGO, IL",,3.4,0.7
"VENICE, FL",3.6,,2.9
"LITTLETON, CO",0.0,2.8,0.6
"ROGERS, AR",0.6,3.6,1.2
"EVANSVILLE, IN",,2.2,0.4
"SAINT PAUL, MN",,3.1,0.6
"HARTFORD, CT",,2.4,0.5
"SYRACUSE, NY",,2.4,0.5
"BROOKLYN, NY",2.8,3.2,2.9
"TUSCALOOSA, AL",,,
"CHICO, CA",3.0,,2.4
"GOLETA, CA",2.3,3.2,2.4
"SEMINOLE, FL",,,
"PITTSBURGH, PA",,3.6,0.7
"POCATELLO, ID",,,
"PEORIA, IL",,2.2,0.4
"BURLINGTON, VT",,3.3,0.7
"RICHLAND, WA",,2.4,0.5
"PARADISE, NV",,,
"ERIE, PA",,2.1,0.4
"DENVER, CO",3.1,3.2,3.1
"MASSILLON, OH",,1.8,0.4
"BISMARCK, ND",,2.0,0.4
"GAINESVILLE, FL",0.8,2.5,1.1
"DOVER, DE",,2.1,0.4
"CRANSTON, RI",,,
"SAINT CHARLES, MO",,,
"FORT LAUDERDALE, FL",0.9,2.0,1.1
"STATEN ISLAND, NY",2.0,2.0,2.0
"SAINT CLOUD, MN",,,
"VERO BEACH, FL",,,
"OLATHE, KS",,1.8,0.4
"JOHNSON CITY, TN",,2.3,0.5
"AVONDALE, AZ",,1.6,0.3
"REDMOND, OR",,,
"MCDONOUGH, GA",,,
"BRONX, NY",2.8,2.4,2.7
"TUCSON, AZ",1.6,3.9,2.0
"MONROE, LA",,,
"LAS CRUCES, NM",,2.4,0.5
"PROVINCETOWN, MA",1.3,1.8,1.4
"SCHERERVILLE, IN",,,
"SILVER SPRING, MD",,2.7,0.5
"ANAHEIM, CA",,1.7,0.3
"FORT WORTH, TX",,3.0,0.6
"FLINT, MI",,2.3,0.5
"STOCKTON, CA",,,
"LAWRENCE, KS",4.0,3.1,3.8
"APPLETON, WI",,2.9,0.6
"RIVERSIDE, CA",,2.4,0.5
"MONTGOMERY, AL",,1.5,0.3
"IRVINE, CA",,2.3,0.5
"NASHUA, NH",,2.0,0.4
"NEWPORT, RI",,2.3,0.5
"LITTLE ROCK, AR",,2.8,0.6
"NEW HAVEN, CT",,2.8,0.6
"VANCOUVER, WA",,2.4,0.5
"BUFFALO, NY",2.8,3.0,2.8
"LEXINGTON, MA",,,
"AUSTIN, TX",3.8,3.3,3.7
"SEATTLE, WA",,3.5,0.7
"HONOLULU, HI",,2.6,0.5
"SACRAMENTO, CA",,3.1,0.6
"MIAMI, FL",,2.4,0.5
"DETROIT, MI",,3.4,0.7
"CONWAY, AR",,2.9,0.6
"ANCHORAGE, AK",,2.9,0.6
"DAVIS, CA",,3.3,0.7
"SAINT LOUIS, MO",,3.0,0.6
"CORPUS CHRISTI, TX",,1.8,0.4
"ROANOKE, VA",,3.1,0.6
"ALBANY, NY",,,
"CAMBRIDGE, MA",,3.1,0.6
"FREDERICK, MD",,2.8,0.6
"GLENDALE, AZ",,2.0,0.4
"MENOMONEE FALLS, WI",0.9,2.0,1.1
"ROCHESTER, MN",,,
"SPRINGFIELD, VA",,2.4,0.5
"LAFAYETTE, LA",,,
"EAST HONOLULU, HI",,,
"FOLSOM, CA",,3.1,0.6
"HURST, TX",,,
"HOUSTON, TX",,2.9,0.6
"CARLSBAD, CA",,,
"COLUMBUS, OH",,3.0,0.6
"ASHEVILLE, NC",,2.8,0.6
"WARREN, MI",,1.4,0.3
"NEW YORK, NY",,,
"GREEN BAY, WI",,2.8,0.6
"ARLINGTON, TX",,1.6,0.3
"SPOKANE, WA",,3.1,0.6
"VIRGINIA BEACH, VA",,,
"ALBUQUERQUE, NM",,3.2,0.6
"FAYETTEVILLE, NC",,1.3,0.3
"SAINT CHARLES, IL",,,
"ARLINGTON, VA",2.4,3.4,2.6
"OMAHA, NE",,2.5,0.5
"CHAMPAIGN, IL",,2.7,0.5
"MADISON, WI",1.6,3.6,2.0
"ROCHESTER, NY",3.7,2.8,3.5
"SAVANNAH, GA",,2.0,0.4
"SCOTTS VALLEY, CA",,,
"KINGSTON, NY",,2.2,0.4
"HARRISBURG, PA",,2.2,0.4
"SAN FRANCISCO, CA",,3.6,0.7
"CLEVELAND, OH",,3.3,0.7
"BARBERTON, OH",,,
"LAKE CHARLES, LA",,,
"MOBILE, AL",,2.0,0.4
"FEDERAL WAY, WA",3.0,,2.4
"JACKSON, MS",,1.6,0.3
"CHATTANOOGA, TN",,2.9,0.6
"AURORA, CO",,2.5,0.5
"NEW ORLEANS, LA",4.3,3.0,4.0
"REDWOOD CITY, CA",,2.1,0.4
"LINCOLN, NE",2.2,3.3,2.4
"PROVIDENCE, RI",4.7,2.7,4.3
"PROVO, UT",,2.9,0.6
"GRESHAM, OR",,,
"DALLAS, TX",,2.7,0.5
"WASHINGTON, DC",2.2,3.3,2.4
"NEWARK, NJ",,,
"HUNTSVILLE, AL",5.4,2.4,4.8
"PORT CHESTER, NY",,,
"JACKSON, TN",,,
"FREMONT, CA",,2.5,0.5
"SHREVEPORT, LA",,1.9,0.4
"MARIETTA, GA",,1.5,0.3
"CORVALLIS, OR",0.6,3.4,1.2
"SAN ANTONIO, TX",,2.9,0.6
"BANGOR, ME",,1.8,0.4
"DELAWARE, OH",,,
"LAS VEGAS, NV",,2.3,0.5
"BELLA VISTA, AR",4.3,3.0,4.0
"STERLING HEIGHTS, MI",,1.7,0.3
"SOUTHAVEN, MS",,,
"REVERE, MA",0.5,,0.4
"MACON, GA",,2.2,0.4
"EUGENE, OR",4.0,3.4,3.8
"TOLEDO, OH",,2.5,0.5
"REDMOND, WA",,2.8,0.6
"HICKORY, NC",,,
"HOOVER, AL",,,
"BILLINGS, MT",1.6,2.4,1.8
"SAN JOSE, CA",,3.3,0.7
"PINE BLUFF, AR",,,
"LEXINGTON, KY",,2.9,0.6
"SOMERVILLE, MA",,2.9,0.6
"GARY, IN",,,
"WILMINGTON, DE",,2.4,0.5
"MILWAUKEE, WI",3.0,3.2,3.0
"MOUNT VERNON, NY",,,
"MEMPHIS, TN",5.5,3.0,5.0
"FARGO, ND",,3.0,0.6
"BIRMINGHAM, AL",,2.4,0.5
"GREAT FALLS, MT",,,
"CAMDEN, NJ",,1.9,0.4
"LENEXA, KS",1.8,1.8,1.8
"LOS ANGELES, CA",,2.8,0.6
"LOUISVILLE, KY",,3.2,0.6
"WATERBURY, CT",,,
"RALEIGH, NC",,2.8,0.6
"SAN BERNARDINO, CA",,,
"BATON ROUGE, LA",,2.0,0.4
"JOLIET, IL",,,
"REDLANDS, CA",,3.1,0.6
"NAPA, CA",,,
"ROSWELL, NM",,,
"GRAND RAPIDS, MI",,3.0,0.6
"PATERSON, NJ",,,
"STAMFORD, CT",,1.9,0.4
"WORCESTER, MA",,1.9,0.4
"DAYTON, OH",,3.2,0.6
"INDIANAPOLIS, IN",3.3,3.3,3.3
"GREENVILLE, SC",,2.9,0.6
"JERSEY CITY, NJ",,2.3,0.5
"CHARLOTTE, NC",,3.0,0.6
"ORLANDO, FL",2.8,2.6,2.7
"COLUMBIA, MD",,2.7,0.5
"IDAHO FALLS, ID",,,
"WINSTON-SALEM, NC",,2.7,0.5
"OKLAHOMA CITY, OK",,3.1,0.6
"CARMEL, IN",3.1,3.3,3.1
"FAYETTEVILLE, AR",5.3,3.8,5.0
"RACINE, WI",,2.1,0.4
"OVERLAND PARK, KS",,2.4,0.5
"MANCHESTER, NH",,2.2,0.4
"BOSTON, MA",3.5,3.1,3.4
"BETHEL, CT",,1.7,0.3
"FISHERS, IN",,,
"SPRINGFIELD, MA",,,
"MINNEAPOLIS, MN",3.3,3.8,3.4
"SAN JUAN, PR",,,
"ATLANTA, GA",,3.1,0.6
"LOWELL, MA",,1.7,0.3
"KEARNEY, NE",,2.1,0.4
"BLOOMINGTON, MN",,2.3,0.5
"CHANDLER, AZ",,2.1,0.4
"RICHARDSON, TX",,2.4,0.5
"KANSAS CITY, MO",,2.9,0.6
"KENT, WA",,,
"DES MOINES, IA",,3.4,0.7
"NORWALK, CT",1.2,,1.0
"URBANA, IL",,2.8,0.6
"ALMA, MI",,,
"SALEM, OR",,2.6,0.5
"DUBLIN, OH",,2.5,0.5
"MELBOURNE, FL",,1.6,0.3
"LONG BEACH, CA",2.9,3.1,2.9
"OWENSBORO, KY",,,
"NASHVILLE, TN",1.8,3.0,2.0
"WINFIELD, IL",,,
"GREENSBORO, NC",,2.4,0.5
"CASPER, WY",,,
"SALT LAKE CITY, UT",,3.2,0.6
"WEST CHESTER, PA",,1.9,0.4
"NEWPORT NEWS, VA",,1.5,0.3
"COLUMBUS, IN",1.9,3.4,2.2
"RIDGELAND, MS",,2.8,0.6
"TALLAHASSEE, FL",,2.7,0.5
"ROCKVILLE, MD",,2.6,0.5
"WEST HARTFORD, CT",,2.7,0.5
"BAKERSFIELD, CA",,2.4,0.5
"BALTIMORE, MD",3.7,2.7,3.5
"CINCINNATI, OH",,2.4,0.5
"CHARLESTON, SC",,2.0,0.4
"SANTA FE, NM",,2.7,0.5
"BROKEN ARROW, OK",,,
"BETTENDORF, IA",,2.6,0.5
"PHOENIX, AZ",,2.5,0.5
"RIO RANCHO, NM",,,
"SCRANTON, PA",,,
"GILBERT, AZ",,,
"HIGH POINT, NC",,1.5,0.3
"BRIDGEPORT, CT",,1.3,0.3
"SCOTTSDALE, AZ",,2.4,0.5
"STATE COLLEGE, PA",,2.8,0.6
"OAKLAND, CA",,3.2,0.6
"HATTIESBURG, MS",,2.0,0.4
"MAPLE GROVE, MN",,,
"HAMMOND, IN",,,
"TACOMA, WA",,2.8,0.6
"PLANO, TX",,2.2,0.4
"NEWBURYPORT, MA",,2.5,0.5
"COLORADO SPRINGS, CO",4.0,3.6,3.9
"DOWNERS GROVE, IL",,1.5,0.3
"SPRINGFIELD, IL",,2.4,0.5
"OXFORD, MS",0.9,,0.7
"COLUMBUS, GA",,,
"THORNTON, CO",,,
"PAWTUCKET, RI",,1.5,0.3
"KNOXVILLE, TN",2.9,3.2,2.9
"ALBANY, GA",,,
"NORFOLK, VA",,2.8,0.6
"MORGAN HILL, CA",,2.6,0.5
"HIGHLAND PARK, IL",1.1,2.1,1.3
"COLUMBIA, MO",,2.9,0.6
"BURLINGTON, IA",,2.0,0.4
"TOPEKA, KS",,3.1,0.6
"DURHAM, NC",3.3,2.7,3.1
"MORGANTOWN, WV",,2.4,0.5
"AMES, IA",,2.7,0.5
"YOUNGSTOWN, OH",,,
"BILOXI, MS",,2.0,0.4
"AUBURN, AL",,2.6,0.5
"LIVONIA, MI",,,
"PORTLAND, OR",3.1,3.6,3.2
"MERIDIAN, MS",,,
"AUGUSTA, GA",,1.9,0.4
"DULUTH, MN",,3.1,0.6
"DAVENPORT, IA",,2.5,0.5
"RICHMOND, VA",,3.0,0.6
"SANTA ROSA, CA",,3.0,0.6
"JANESVILLE, WI",,2.6,0.5
"HUNTINGTON, WV",,,
"NEWINGTON, CT",,,
"AKRON, OH",,2.6,0.5
"NORTHFIELD, NJ",,,
"WEST FARGO, ND",,,
"NORTH PLATTE, NE",,,
"JACKSONVILLE, FL",,1.9,0.4
"NEWARK, DE",,2.9,0.6
"EVANSTON, IL",,3.0,0.6
"CANTON, OH",,1.9,0.4
"PEACHTREE CITY, GA",,,
"WAXHAW, NC",,,
"SIOUX FALLS, SD",,3.0,0.6
"DUNWOODY, GA",,,
"PADUCAH, KY",,2.7,0.5
"BELLEVUE, WA",,2.5,0.5
"CHULA VISTA, CA",,2.4,0.5
"MESA, AZ",,2.3,0.5
"FAIRFIELD, CA",,,
"LIVERMORE, CA",,,
"TUPELO, MS",,2.1,0.4
"PEORIA, AZ",,2.0,0.4
"GULFPORT, MS",,,
"EL PASO, TX",,2.0,0.4
"TRENTON, NJ",,,
"EUCLID, OH",,2.3,0.5
"EAU CLAIRE, WI",,2.9,0.6
"MANHATTAN, NY",2.8,3.1,2.9
"BOWLING GREEN, KY",,1.8,0.4
"LAKEWOOD, CO",,2.6,0.5
"FRESNO, CA",,2.5,0.5
"WARWICK, RI",,,
"SIMI VALLEY, CA",,,
"O'FALLON, MO",,1.6,0.3
"WEST JORDAN, UT",,,
"GILLETTE, WY",,,
"NEW ULM, MN",,2.1,0.4
"KALISPELL, MT",,1.9,0.4
"MERIDIAN, ID",,,
"HILO, HI",,,
"PORTSMOUTH, NH",,2.8,0.6
"MONTEBELLO, CA",,,
"CONCORD, NH",,2.6,0.5
"ROSWELL, GA",,2.6,0.5
"TEMPE, AZ",,2.8,0.6
"RENO, NV",,3.0,0.6
"BEAVERTON, OR",,2.4,0.5
"BURKE, VA",,2.0,0.4
"CEDAR RAPIDS, IA",,3.4,0.7
"FRANKLIN, TN",,,
"SILOAM SPRINGS, AR",3.2,2.3,3.0
"BUTTE, MT",,,
"CONCORD, NC",,,
"COLUMBIA, SC",,1.9,0.4
"RICHFIELD, UT",,,
"SIOUX CITY, IA",,2.2,0.4
"LONGMONT, CO",,3.1,0.6
"NORTH LITTLE ROCK, AR",,2.5,0.5
"CHESAPEAKE, VA",,1.3,0.3
"KENNER, LA",,,
"SAN DIEGO, CA",4.0,3.1,3.8
"EDWARDSVILLE, IL",,2.6,0.5
"NORMAN, OK",,2.5,0.5
"YORBA LINDA, CA",,,
"ABERDEEN, SD",,,
"AUGUSTA, ME",,1.6,0.3
"DULUTH, GA",,1.5,0.3
"CHAPEL HILL, NC",,2.7,0.5
"VIENNA, VA",,2.4,0.5
"JONESBORO, AR",,1.7,0.3
"SUN PRAIRIE, WI",2.4,,1.9
"MIDDLETOWN, DE",,,
"SOLDOTNA, AK",,,
"CARSON CITY, NV",,,
"SUMMERVILLE, SC",,1.5,0.3
"CROWN POINT, IN",,,
"SANTA MONICA, CA",2.5,2.9,2.6
"PARKERSBURG, WV",,,
"VILLA PARK, IL",,,
"WARREN, PA",,1.7,0.3
"HENDERSON, NV",,2.4,0.5
"BLOOMINGTON, IN",,2.8,0.6
"METAIRIE, LA",,,
"ROCKFORD, IL",,2.3,0.5
"HALES CORNERS, WI",,,
"CLARKSVILLE, TN",,1.6,0.3
"DANVILLE, KY",,,
"FERNDALE, MI",3.9,2.8,3.6
"DECATUR, AL",,,
"THE VILLAGES, FL",,,
"SAN LUIS OBISPO, CA",,3.3,0.7
"BOSSIER CITY, LA",,1.4,0.3
"NARRAGANSETT, RI",,2.0,0.4
"BUELLTON, CA",0.2,2.2,0.6
"CHEYENNE, WY",,2.1,0.4
"ALEXANDRIA, MN",,,
"HILTON HEAD ISLAND, SC",,,
"BATAVIA, IL",,,
"WHEELING, WV",,,
"MOUNTAIN HOME, AR",,0.8,0.2
"BURLINGAME, CA",,,
"BELLEVUE, NE",,,
"MELROSE, MA",,1.9,0.4
"ESTERO, FL",,,
"WEST VALLEY CITY, UT",,,
"SAN ELIZARIO, TX",3.9,1.8,3.4
"NORTH KANSAS CITY, MO",4.0,,3.2
"VINEYARD, UT",3.9,,3.1
"BOULDER JUNCTION, WI",2.6,2.9,2.6
"BUCKHANNON, WV",2.9,,2.3
"SOLVANG, CA",0.8,2.1,1.0
"MORRISTOWN, NJ",,2.2,0.4
"MELBOURNE BEACH, FL",,1.8,0.4
"MOORESVILLE, NC",,1.3,0.3
"BARTLETT, TN",,,
"WALLED LAKE, MI",,,
"PELHAM MANOR, NY",,,
"LEBANON, OH",,,
"CENTERVILLE, OH",,,
"HORN LAKE, MS",,,
"SPRINGBORO, OH",,,
"MILFORD, NH",,,
"CLERMONT, FL",,,
"WESTLAKE VILLAGE, CA",,,
"OLIVE BRANCH, MS",,,
"BRIELLE, NJ",,,
"TATAMY, PA",,,
"FOXBOROUGH, MA",,,
"HOOKSETT, NH",,,
"PITTSFORD, NY",,,
