City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
"HOOVER, AL",1.4,1.0,1.6,,0.8,2.0,38,HOOVER,AL
"BILLINGS, MT",2.4,1.7,1.9,1.8,2.1,2.0,71,BILLINGS,MT
"SAN JOSE, CA",1.6,2.0,1.9,0.7,1.4,2.0,26,SAN JOSE,CA
"LEXINGTON, KY",1.5,1.7,1.7,0.6,1.3,2.0,72,LEXINGTON,KY
"SOMERVILLE, MA",1.9,3.2,2.3,0.6,1.4,2.0,98,SOMERVILLE,MA
"GARY, IN",1.7,1.1,1.2,,2.4,2.0,76,GARY,IN
"WILMINGTON, DE",1.6,1.5,2.1,0.5,2.1,2.0,63,WILMINGTON,DE
"MILWAUKEE, WI",2.8,1.9,2.5,3.0,2.2,2.0,95,MILWAUKEE,WI
"MOUNT VERNON, NY",1.4,1.1,1.8,,0.8,2.0,96,MOUNT VERNON,NY
"MEMPHIS, TN",2.8,1.5,1.7,5.0,1.4,1.9,89,MEMPHIS,TN
"FARGO, ND",1.9,1.9,2.1,0.6,3.0,1.9,79,FARGO,ND
"BIRMINGHAM, AL",1.5,1.4,1.4,0.5,2.1,1.9,69,BIRMINGHAM,AL
"GREAT FALLS, MT",1.6,1.1,1.8,,1.6,1.9,54,GREAT FALLS,MT
"CAMDEN, NJ",1.5,1.3,2.1,0.4,2.0,1.9,95,CAMDEN,NJ
"LOS ANGELES, CA",1.7,2.1,1.8,0.6,2.1,1.9,6,LOS ANGELES,CA
"LOUISVILLE, KY",1.4,1.6,1.5,0.6,1.4,1.9,92,LOUISVILLE,KY
"WATERBURY, CT",1.0,0.9,0.4,,0.8,1.9,69,WATERBURY,CT
"RALEIGH, NC",1.5,1.6,1.9,0.6,1.4,1.9,85,RALEIGH,NC
"SAN BERNARDINO, CA",1.1,0.8,0.8,,0.8,1.9,8,SAN BERNARDINO,CA
"BATON ROUGE, LA",1.3,1.5,0.9,0.4,2.0,1.9,65,BATON ROUGE,LA
"JOLIET, IL",1.5,1.3,1.2,,1.6,1.9,36,JOLIET,IL
"REDLANDS, CA",1.7,1.5,2.2,0.6,2.2,1.9,8,REDLANDS,CA
"NAPA, CA",1.6,1.0,1.8,,1.6,1.9,37,NAPA,CA
"ROSWELL, NM",1.3,0.9,1.6,,0.8,1.9,11,ROSWELL,NM
"GRAND RAPIDS, MI",1.5,1.8,1.9,0.6,1.4,1.9,97,GRAND RAPIDS,MI
"PATERSON, NJ",1.0,0.7,0.8,,0.8,1.9,56,PATERSON,NJ
"STAMFORD, CT",1.3,1.4,1.6,0.4,1.2,1.9,88,STAMFORD,CT
"WORCESTER, MA",1.4,1.4,2.0,0.4,1.2,1.9,95,WORCESTER,MA
"DAYTON, OH",1.4,1.7,1.4,0.6,1.5,1.9,94,DAYTON,OH
"INDIANAPOLIS, IN",2.5,1.9,1.5,3.3,1.4,1.9,98,INDIANAPOLIS,IN
"JERSEY CITY, NJ",1.5,2.1,1.8,0.5,1.2,1.8,65,JERSEY CITY,NJ
"CHARLOTTE, NC",1.4,1.7,1.4,0.6,1.4,1.8,81,CHARLOTTE,NC
"ORLANDO, FL",2.3,1.6,1.6,2.7,1.3,1.8,32,ORLANDO,FL
"COLUMBIA, MD",1.6,1.5,2.5,0.5,1.3,1.8,17,COLUMBIA,MD
"IDAHO FALLS, ID",1.2,1.0,1.2,,0.8,1.8,63,IDAHO FALLS,ID
"WINSTON-SALEM, NC",1.4,1.4,1.9,0.5,1.3,1.8,39,WINSTON-SALEM,NC
"OKLAHOMA CITY, OK",1.3,1.5,1.3,0.6,1.4,1.8,36,OKLAHOMA CITY,OK
"CARMEL, IN",3.0,2.0,2.4,3.1,2.9,1.8,52,CARMEL,IN
"FAYETTEVILLE, AR",3.1,1.5,2.2,5.0,2.3,1.8,46,FAYETTEVILLE,AR
"RACINE, WI",1.6,1.6,2.1,0.4,2.1,1.8,75,RACINE,WI
"OVERLAND PARK, KS",1.7,1.8,2.3,0.5,2.1,1.8,44,OVERLAND PARK,KS
"MANCHESTER, NH",1.4,1.4,1.9,0.4,1.3,1.8,74,MANCHESTER,NH
"BOSTON, MA",2.7,2.6,2.0,3.4,1.3,1.8,98,BOSTON,MA
"FISHERS, IN",1.5,1.5,1.0,,1.6,1.8,16,FISHERS,IN
"SPRINGFIELD, MA",1.2,0.9,1.2,,0.8,1.8,90,SPRINGFIELD,MA
"MINNEAPOLIS, MN",3.2,2.8,3.0,3.4,2.3,1.8,84,MINNEAPOLIS,MN
"ATLANTA, GA",1.5,1.9,1.6,0.6,1.3,1.8,43,ATLANTA,GA
"LOWELL, MA",1.4,1.4,2.2,0.3,1.2,1.8,70,LOWELL,MA
"KEARNEY, NE",1.7,1.6,2.4,0.4,2.1,1.8,31,KEARNEY,NE
"BLOOMINGTON, MN",1.7,1.7,2.4,0.5,2.1,1.8,95,BLOOMINGTON,MN
"CHANDLER, AZ",1.6,1.8,1.7,0.4,2.1,1.8,18,CHANDLER,AZ
"RICHARDSON, TX",1.3,1.4,1.5,0.5,1.3,1.8,45,RICHARDSON,TX
"KANSAS CITY, MO",1.5,1.8,1.2,0.6,2.1,1.8,45,KANSAS CITY,MO
"KENT, WA",1.3,1.0,1.6,,0.8,1.8,92,KENT,WA
"DES MOINES, IA",1.7,1.8,2.0,0.7,2.3,1.8,94,DES MOINES,IA
"NORWALK, CT",1.5,1.0,2.8,1.0,0.8,1.8,88,NORWALK,CT
"SALEM, OR",1.5,1.7,2.1,0.5,1.3,1.7,78,SALEM,OR
"MELBOURNE, FL",1.2,1.5,1.0,0.3,1.2,1.7,43,MELBOURNE,FL
"LONG BEACH, CA",2.8,1.8,2.9,2.9,2.1,1.7,15,LONG BEACH,CA
"OWENSBORO, KY",1.1,1.0,1.0,,0.8,1.7,51,OWENSBORO,KY
"NASHVILLE, TN",2.1,1.5,1.6,2.0,1.3,1.7,90,NASHVILLE,TN
"GREENSBORO, NC",1.3,1.4,1.4,0.5,1.4,1.7,67,GREENSBORO,NC
"CASPER, WY",1.5,1.1,1.0,,2.4,1.7,37,CASPER,WY
"SALT LAKE CITY, UT",2.0,2.6,1.7,0.6,3.1,1.7,74,SALT LAKE CITY,UT
"NEWPORT NEWS, VA",1.5,1.4,2.0,0.3,2.0,1.7,57,NEWPORT NEWS,VA
"TALLAHASSEE, FL",1.4,1.6,1.8,0.5,1.4,1.7,66,TALLAHASSEE,FL
"BAKERSFIELD, CA",1.2,1.5,1.2,0.5,1.3,1.7,2,BAKERSFIELD,CA
"BALTIMORE, MD",2.8,1.7,2.3,3.5,2.1,1.7,91,BALTIMORE,MD
"CINCINNATI, OH",1.6,1.8,1.8,0.5,2.1,1.7,67,CINCINNATI,OH
"CHARLESTON, SC",1.4,2.2,1.4,0.4,1.2,1.7,27,CHARLESTON,SC
"SANTA FE, NM",1.5,1.8,2.1,0.5,1.4,1.7,17,SANTA FE,NM
"BROKEN ARROW, OK",1.3,1.0,1.6,,0.8,1.7,33,BROKEN ARROW,OK
"PHOENIX, AZ",1.5,1.9,1.4,0.5,2.2,1.7,18,PHOENIX,AZ
"RIO RANCHO, NM",1.3,1.0,1.8,,0.8,1.7,6,RIO RANCHO,NM
"SCRANTON, PA",1.4,0.9,1.6,,1.6,1.7,85,SCRANTON,PA
"GILBERT, AZ",1.4,1.1,1.4,,1.6,1.7,18,GILBERT,AZ
"HIGH POINT, NC",1.3,1.2,2.4,0.3,1.2,1.7,67,HIGH POINT,NC
"BRIDGEPORT, CT",1.3,1.4,2.0,0.3,1.2,1.7,75,BRIDGEPORT,CT
"SCOTTSDALE, AZ",1.7,2.0,1.9,0.5,2.2,1.7,3,SCOTTSDALE,AZ
"OAKLAND, CA",1.8,2.5,1.8,0.6,2.2,1.6,61,OAKLAND,CA
"HATTIESBURG, MS",1.3,1.4,1.9,0.4,1.2,1.6,51,HATTIESBURG,MS
"HAMMOND, IN",1.4,1.2,1.0,,1.6,1.6,76,HAMMOND,IN
"TACOMA, WA",1.6,1.8,1.9,0.6,2.1,1.6,87,TACOMA,WA
"PLANO, TX",1.4,1.5,1.9,0.4,1.3,1.6,45,PLANO,TX
"COLORADO SPRINGS, CO",3.1,2.0,3.1,3.9,2.3,1.6,44,COLORADO SPRINGS,CO
"SPRINGFIELD, IL",1.4,1.7,2.1,0.5,1.2,1.6,59,SPRINGFIELD,IL
"COLUMBUS, GA",1.1,1.0,1.0,,0.8,1.6,42,COLUMBUS,GA
"THORNTON, CO",1.1,1.1,1.0,,0.8,1.6,7,THORNTON,CO
"PAWTUCKET, RI",1.4,1.4,2.3,0.3,1.2,1.6,47,PAWTUCKET,RI
"KNOXVILLE, TN",2.4,1.6,1.9,2.9,1.4,1.6,83,KNOXVILLE,TN
"ALBANY, GA",0.9,0.8,0.4,,0.8,1.6,39,ALBANY,GA
"NORFOLK, VA",1.3,1.5,1.9,0.6,1.2,1.6,72,NORFOLK,VA
"COLUMBIA, MO",1.7,1.8,2.0,0.6,2.3,1.6,59,COLUMBIA,MO
"TOPEKA, KS",1.5,1.7,1.3,0.6,2.2,1.6,45,TOPEKA,KS
"DURHAM, NC",2.7,1.7,3.4,3.1,1.4,1.6,85,DURHAM,NC
"MORGANTOWN, WV",1.5,1.4,1.6,0.5,2.2,1.6,81,MORGANTOWN,WV
"YOUNGSTOWN, OH",1.0,1.0,0.6,,0.8,1.6,100,YOUNGSTOWN,OH
"BILOXI, MS",1.1,1.2,1.3,0.4,1.2,1.6,78,BILOXI,MS
"LIVONIA, MI",1.4,1.2,1.4,,1.6,1.6,94,LIVONIA,MI
"PORTLAND, OR",3.3,4.0,2.9,3.2,2.3,1.6,84,PORTLAND,OR
"AUGUSTA, GA",1.2,1.4,1.2,0.4,1.3,1.5,38,AUGUSTA,GA
"DULUTH, MN",1.7,1.7,2.1,0.6,2.2,1.5,68,DULUTH,MN
"DAVENPORT, IA",1.6,1.7,1.9,0.5,2.2,1.5,65,DAVENPORT,IA
"RICHMOND, VA",1.7,1.8,2.1,0.6,2.2,1.5,90,RICHMOND,VA
"SANTA ROSA, CA",1.5,1.7,2.1,0.6,1.4,1.5,33,SANTA ROSA,CA
"HUNTINGTON, WV",1.6,1.0,1.4,,2.4,1.5,66,HUNTINGTON,WV
"AKRON, OH",1.2,1.6,1.1,0.5,1.3,1.5,80,AKRON,OH
"WEST FARGO, ND",1.6,1.4,1.8,,1.6,1.5,79,WEST FARGO,ND
"JACKSONVILLE, FL",1.2,1.6,1.1,0.4,1.2,1.5,76,JACKSONVILLE,FL
"NEWARK, DE",1.6,1.7,2.1,0.6,2.2,1.5,63,NEWARK,DE
"EVANSTON, IL",1.7,2.3,2.2,0.6,2.1,1.5,62,EVANSTON,IL
"CANTON, OH",1.3,1.5,1.8,0.4,1.3,1.5,99,CANTON,OH
"SIOUX FALLS, SD",1.5,1.9,2.2,0.6,1.4,1.5,79,SIOUX FALLS,SD
"BELLEVUE, WA",1.6,1.7,2.3,0.5,2.1,1.4,80,BELLEVUE,WA
"CHULA VISTA, CA",1.3,1.3,1.7,0.5,1.3,1.4,33,CHULA VISTA,CA
"MESA, AZ",1.3,1.8,1.7,0.5,1.4,1.4,23,MESA,AZ
"FAIRFIELD, CA",1.1,1.0,1.2,,0.8,1.4,29,FAIRFIELD,CA
"LIVERMORE, CA",1.3,1.1,1.8,,0.8,1.4,9,LIVERMORE,CA
"PEORIA, AZ",1.3,1.0,1.7,0.4,2.1,1.4,12,PEORIA,AZ
"GULFPORT, MS",1.2,0.8,1.6,,0.8,1.4,48,GULFPORT,MS
"EL PASO, TX",1.2,1.3,1.8,0.4,1.2,1.4,29,EL PASO,TX
"TRENTON, NJ",1.3,0.9,1.2,,1.6,1.4,51,TRENTON,NJ
"EAU CLAIRE, WI",1.8,1.7,2.4,0.6,3.0,1.4,82,EAU CLAIRE,WI
"BOWLING GREEN, KY",1.3,1.3,2.0,0.4,1.2,1.4,59,BOWLING GREEN,KY
"LAKEWOOD, CO",1.4,1.8,1.9,0.5,1.4,1.4,53,LAKEWOOD,CO
"FRESNO, CA",1.3,1.6,1.8,0.5,1.3,1.4,22,FRESNO,CA
"WARWICK, RI",1.2,1.0,1.6,,0.8,1.3,99,WARWICK,RI
"SIMI VALLEY, CA",1.4,1.0,1.6,,1.6,1.3,36,SIMI VALLEY,CA
"WEST JORDAN, UT",1.2,0.9,1.8,,0.8,1.3,29,WEST JORDAN,UT
"GILLETTE, WY",1.4,0.9,1.6,,1.6,1.3,47,GILLETTE,WY
"MERIDIAN, ID",1.2,0.9,1.8,,0.8,1.3,16,MERIDIAN,ID
"HILO, HI",1.2,1.0,1.0,,1.6,1.3,81,HILO,HI
"CONCORD, NH",1.3,1.4,2.2,0.5,1.3,1.3,87,CONCORD,NH
"ROSWELL, GA",1.2,1.6,1.5,0.5,1.3,1.3,76,ROSWELL,GA
"TEMPE, AZ",1.6,2.2,1.7,0.6,2.2,1.3,18,TEMPE,AZ
"RENO, NV",1.5,1.7,1.9,0.6,2.2,1.3,32,RENO,NV
"BEAVERTON, OR",1.6,1.8,2.3,0.5,2.1,1.3,75,BEAVERTON,OR
"CEDAR RAPIDS, IA",1.7,1.9,2.4,0.7,2.2,1.3,70,CEDAR RAPIDS,IA
"BUTTE, MT",1.4,1.2,1.6,,1.6,1.3,62,BUTTE,MT
"CONCORD, NC",1.1,0.9,1.4,,0.8,1.3,17,CONCORD,NC
"COLUMBIA, SC",1.3,1.5,1.1,0.4,2.0,1.3,30,COLUMBIA,SC
"SIOUX CITY, IA",1.3,1.5,2.1,0.4,1.3,1.2,57,SIOUX CITY,IA
"LONGMONT, CO",1.4,1.7,1.9,0.6,1.4,1.2,12,LONGMONT,CO
"CHESAPEAKE, VA",1.3,1.5,1.6,0.3,1.9,1.2,53,CHESAPEAKE,VA
"KENNER, LA",1.3,0.9,1.6,,1.6,1.2,88,KENNER,LA
"SAN DIEGO, CA",3.0,2.1,3.3,3.8,2.2,1.2,35,SAN DIEGO,CA
"NORMAN, OK",1.6,2.0,2.1,0.5,2.0,1.2,32,NORMAN,OK
"ABERDEEN, SD",1.5,1.2,1.4,,2.4,1.1,64,ABERDEEN,SD
"JONESBORO, AR",1.1,1.3,1.7,0.3,1.2,1.1,52,JONESBORO,AR
"MIDDLETOWN, DE",1.3,0.9,1.8,,1.6,1.0,63,MIDDLETOWN,DE
"SANTA MONICA, CA",3.1,2.6,3.7,2.6,2.9,1.0,13,SANTA MONICA,CA
"PARKERSBURG, WV",1.0,0.9,0.6,,1.6,1.0,68,PARKERSBURG,WV
"HENDERSON, NV",1.4,1.5,2.1,0.5,2.2,0.9,3,HENDERSON,NV
"BLOOMINGTON, IN",1.7,1.9,1.9,0.6,3.0,0.9,68,BLOOMINGTON,IN
"METAIRIE, LA",1.3,1.1,1.8,,1.6,0.9,64,METAIRIE,LA
"ROCKFORD, IL",1.3,1.6,1.4,0.5,2.1,0.9,96,ROCKFORD,IL
"CLARKSVILLE, TN",1.1,1.3,1.1,0.3,2.0,0.8,53,CLARKSVILLE,TN
"CHEYENNE, WY",1.2,1.6,1.3,0.4,2.1,0.7,61,CHEYENNE,WY
"WHEELING, WV",1.2,0.8,1.8,,1.6,0.5,82,WHEELING,WV
"BELLEVUE, NE",1.3,1.3,1.8,,1.6,0.4,82,BELLEVUE,NE
